Storkreds,Opstillingskreds,Kommune,Valgdistrikt_kode,Location,Persons18,Persons65,Age_Mean,Income_Mean,Grundskole,Gymnasial,Erhvervsfaglig,Kort_vider,Mellemlang_vider,Bachelor,Lang_vider,Uoplyst,with_children,without_children,A. Socialdemokratiet,B. Radikale Venstre,C. Det Konservative Folkeparti,D. Nye Borgerlige,E. Klaus Riskær Pedersen,F. SF - Socialistisk Folkeparti,I. Liberal Alliance,K. Kristendemokraterne,O. Dansk Folkeparti,P. Stram Kurs,"V. Venstre, Danmarks Liberale Parti",Ø. Enhedslisten - De Rød-Grønne,Å. Alternativet,Kandidater uden for partierne i alt
3. Nordsjællands Storkreds,6. Rudersdal Opstillingskreds,230,3,Ny Holte,4855,1623,55.7,557978.7,13.45005149,9.969104016,15.65396498,4.73738414,17.11637487,3.398558187,33.69721936,1.977342945,2802,2053,424,815,892,96,19,192,285,25,119,41,1239,146,111,5
3. Nordsjællands Storkreds,6. Rudersdal Opstillingskreds,230,4,Nærum,3841,1408,56.6,294308.7,21.47878157,8.851861494,26.45144494,4.16558188,17.13095548,2.056756053,17.85993231,2.00468628,2605,1236,631,412,432,102,40,199,111,21,212,39,784,177,85,5
3. Nordsjællands Storkreds,6. Rudersdal Opstillingskreds,230,5,Sjælsø,5305,1409,52.9,371599.2,16.32422243,8.294062205,19.86804901,4.78793591,20.16965127,2.412818096,26.63524976,1.50801131,2875,2430,634,888,751,99,19,282,234,29,167,46,1124,266,175,6
3. Nordsjællands Storkreds,6. Rudersdal Opstillingskreds,230,6,Skovly,2440,686,53,438802,12.33606557,10.57377049,16.18852459,5.245901639,16.80327869,3.81147541,33.89344262,1.147540984,1303,1137,230,380,443,56,27,119,144,20,49,14,599,92,74,2
3. Nordsjællands Storkreds,6. Rudersdal Opstillingskreds,230,7,Toftevang,5699,1608,53,355440.1,16.8275136,9.299877171,20.86330935,4.088436568,18.19617477,2.43902439,26.79417442,1.491489735,3339,2360,791,968,778,117,49,338,203,29,200,58,997,333,199,1
3. Nordsjællands Storkreds,6. Rudersdal Opstillingskreds,230,8,Trørød,3914,1361,56.8,378481.6,15.66172713,9.836484415,21.92130812,5.237608585,18.54879918,2.759325498,24.42514052,1.609606541,2369,1545,468,474,639,96,34,158,185,25,150,20,1047,141,62,1
3. Nordsjællands Storkreds,6. Rudersdal Opstillingskreds,230,9,Vangebo,2932,852,51.6,470776.4,10.60709413,18.96316508,13.57435198,3.683492497,15.00682128,3.854024557,32.23055935,2.080491132,1879,1053,210,417,564,64,32,114,199,16,55,20,826,85,85,0
3. Nordsjællands Storkreds,6. Rudersdal Opstillingskreds,230,10,Vedbæk,5490,1975,56.3,713227.2,13.55191257,10.94717668,19.90892532,4.116575592,17.92349727,3.114754098,28.23315118,2.204007286,3345,2145,374,695,1025,163,46,156,362,38,170,39,1685,139,125,3
4. Bornholms Storkreds,1. Rønne Opstillingskreds,400,7,Klemensker,1999,576,53.1,203224.2,36.36818409,3.901950975,44.02201101,2.701350675,8.904452226,0.500250125,2.60130065,1.00050025,1338,661,484,32,19,40,13,52,11,85,238,35,454,109,53,0
4. Bornholms Storkreds,1. Rønne Opstillingskreds,400,8,Rønne,11265,3859,55.1,213618.1,32.1349312,4.873501997,39.3786063,3.115845539,14.62938304,0.710164225,4.03018198,1.127385708,8271,2994,3503,328,195,148,61,425,83,322,822,184,2055,654,254,0
4. Bornholms Storkreds,1. Rønne Opstillingskreds,400,9,Hasle,2212,890,58.4,206633.5,33.67992767,4.159132007,41.81735986,3.119349005,11.79927667,0.587703436,3.661844485,1.175406872,1693,519,641,49,30,29,17,61,11,79,213,47,465,143,53,0
4. Bornholms Storkreds,2. Aakirkeby Opstillingskreds,400,1,Allinge,2679,1153,59.6,201872.2,31.69092945,4.479283315,41.5826801,2.612915267,13.21388578,0.78387458,3.770063457,1.866368048,2118,561,662,69,44,48,19,117,25,68,249,32,547,226,69,0
4. Bornholms Storkreds,2. Aakirkeby Opstillingskreds,400,2,Østermarie,2292,845,57.4,205038.8,33.33333333,4.144851658,37.34729494,3.664921466,14.79057592,1.047120419,4.363001745,1.308900524,1663,629,453,61,39,37,21,95,29,97,189,37,501,235,102,0
4. Bornholms Storkreds,2. Aakirkeby Opstillingskreds,400,3,Svaneke,1699,743,60,236141.8,24.72042378,4.944084756,34.49087699,3.649205415,20.18834609,1.942319011,8.828722778,1.236021189,1266,433,395,98,31,15,15,79,15,47,74,11,401,212,86,0
4. Bornholms Storkreds,2. Aakirkeby Opstillingskreds,400,4,Nexø,3488,1283,57.2,197667,35.23509174,4.099770642,41.54243119,3.239678899,11.49655963,1.175458716,1.834862385,1.376146789,2579,909,1047,80,29,33,27,117,22,93,292,42,737,197,92,0
4. Bornholms Storkreds,2. Aakirkeby Opstillingskreds,400,5,Pedersker,1317,497,58.1,211021.3,35.83902809,3.492786636,41.53378891,3.416856492,11.54138193,0.379650721,2.657555049,1.138952164,1018,299,333,32,17,20,17,32,12,44,137,24,339,72,21,0
4. Bornholms Storkreds,2. Aakirkeby Opstillingskreds,400,6,Aakirkeby,4156,1376,55.3,193967.6,36.28488932,3.320500481,42.05967276,2.887391723,10.61116458,0.384985563,2.526467757,1.924927815,2900,1256,1055,95,49,58,31,107,39,198,411,67,876,194,92,0
4. Bornholms Storkreds,2. Aakirkeby Opstillingskreds,411,1,Christiansø,65,18,54.5,261184.7,30.76923077,3.076923077,27.69230769,3.076923077,26.15384615,1.538461538,7.692307692,0,44,21,20,2,3,0,0,6,1,0,1,2,9,10,2,0
5. Sjællands Storkreds,1. Lolland Opstillingskreds,360,1,Errindlev,625,241,57.4,212527,43.2,2.56,37.28,2.72,9.28,0.16,3.04,1.76,481,144,175,25,18,15,4,15,4,0,81,12,127,20,3,1
5. Sjællands Storkreds,1. Lolland Opstillingskreds,360,3,Holeby,2033,711,55.9,187650.3,44.1711756,2.55779636,40.03935071,2.262666011,7.722577472,0.393507132,1.328086572,1.524840138,1555,478,679,28,45,38,19,69,10,8,191,59,307,78,16,1
5. Sjællands Storkreds,1. Lolland Opstillingskreds,360,8,Sandby,763,314,58.5,210916.5,40.89121887,2.883355177,39.71166448,2.883355177,8.519003932,0.262123198,3.276539974,1.572739187,580,183,209,24,28,15,11,28,5,2,80,16,145,25,5,0
5. Sjællands Storkreds,1. Lolland Opstillingskreds,360,11,Søllested,1646,602,57,197723.9,42.58809235,2.794653706,39.61117861,3.219927096,8.323207776,0.364520049,1.761846902,1.336573512,1235,411,455,32,32,31,9,69,19,6,162,62,272,62,15,0
5. Sjællands Storkreds,1. Lolland Opstillingskreds,360,13,Maribo,5216,1872,55.8,212335.5,34.02990798,4.045245399,41.50690184,3.144171779,13.15184049,0.632668712,2.607361963,0.88190184,3854,1362,1670,130,162,60,26,326,51,25,406,90,1021,157,54,0
5. Sjællands Storkreds,1. Lolland Opstillingskreds,360,14,Askø,42,26,67.9,195623.5,45.23809524,0,40.47619048,0,4.761904762,2.380952381,0,7.142857143,42,0,11,0,1,1,0,2,0,3,4,0,16,2,3,0
5. Sjællands Storkreds,1. Lolland Opstillingskreds,360,19,Østofte,2569,894,56.4,199647.3,37.8746594,3.50330868,41.45581938,2.880498248,10.04281822,0.350330868,2.257687816,1.634877384,1915,654,712,41,67,52,21,110,25,22,228,69,480,112,20,0
5. Sjællands Storkreds,1. Lolland Opstillingskreds,360,20,Nakskov Vest,6729,2481,56.1,187159.6,38.6090058,4.22053797,41.96760291,2.362906821,9.852875613,0.312082033,1.218606034,1.456382821,5169,1560,2295,106,160,113,38,403,27,29,613,161,683,246,41,0
5. Sjællands Storkreds,1. Lolland Opstillingskreds,360,21,Nakskov Øst,4197,1376,54.6,202860.5,34.83440553,3.573981415,42.88777698,3.002144389,12.00857756,0.309745056,2.049082678,1.334286395,2896,1301,1339,73,129,78,23,265,32,27,367,92,529,127,33,1
5. Sjællands Storkreds,1. Lolland Opstillingskreds,360,26,Birket,400,163,58.5,192455.5,37.75,3.75,42.75,2.25,10.25,0.25,1.5,1.5,339,61,113,8,9,11,10,22,5,2,40,10,64,21,6,0
5. Sjællands Storkreds,1. Lolland Opstillingskreds,360,27,Fejø,372,187,62.3,194757.7,32.25806452,5.107526882,31.98924731,4.032258065,16.66666667,1.88172043,5.64516129,2.419354839,315,57,68,19,11,13,4,24,5,3,46,10,67,42,20,0
5. Sjællands Storkreds,1. Lolland Opstillingskreds,360,28,Femø,116,85,69.5,175425.6,41.37931034,0,35.34482759,2.586206897,15.51724138,1.724137931,2.586206897,0.862068966,110,6,23,3,9,0,0,5,0,1,11,0,32,6,2,0
5. Sjællands Storkreds,1. Lolland Opstillingskreds,360,29,Horslunde,1748,609,56.2,192506.7,39.64530892,3.546910755,40.67505721,2.345537757,9.725400458,0.57208238,1.487414188,2.00228833,1306,442,521,30,56,40,14,112,13,11,190,67,315,74,12,0
5. Sjællands Storkreds,1. Lolland Opstillingskreds,360,35,Dannemare,2103,841,58,209698.7,37.99334284,3.185924869,42.03518783,3.090822634,9.51022349,0.19020447,1.949595816,2.04469805,1622,481,522,34,64,37,10,80,16,12,257,61,431,106,8,0
5. Sjællands Storkreds,1. Lolland Opstillingskreds,360,36,Rødby,2929,1026,56.1,191662.3,44.62273814,3.10686241,38.57972004,2.082622055,8.979173779,0.170706726,1.092523045,1.365653807,2133,796,836,54,96,65,15,126,28,15,248,82,514,99,24,0
5. Sjællands Storkreds,1. Lolland Opstillingskreds,360,37,Rødbyhavn,1361,469,55.7,178417.2,52.16752388,2.351212344,32.69654666,1.469507715,6.539309331,0.293901543,1.0286554,3.45334313,1121,240,372,25,25,19,9,80,1,5,141,39,131,57,11,0
5. Sjællands Storkreds,2. Guldborgsund Opstillingskreds,376,1,Byen,3810,1134,50.5,194243,34.06824147,9.05511811,31.86351706,3.43832021,14.30446194,0.787401575,4.06824147,2.414698163,3053,757,936,133,137,54,22,281,51,26,305,74,521,187,60,1
5. Sjællands Storkreds,2. Guldborgsund Opstillingskreds,376,2,Østerbro,3149,721,48.6,200335.7,28.77103842,8.796443315,37.53572563,3.397904097,16.64020324,0.825658939,3.112099079,0.920927279,2164,985,871,114,104,53,32,257,34,24,281,79,418,151,63,0
5. Sjællands Storkreds,2. Guldborgsund Opstillingskreds,376,3,Lindeskov,2857,1084,56.2,207533.8,33.00665033,5.740287014,40.8120406,3.045152258,13.19565978,0.315015751,2.310115506,1.575078754,2040,817,853,138,96,27,11,176,23,24,302,43,454,107,32,0
5. Sjællands Storkreds,2. Guldborgsund Opstillingskreds,376,4,Ejegod,3394,1184,54.6,217846.7,29.87625221,6.098998232,40.12964054,3.388332351,14.08367708,0.736593989,4.596346494,1.090159104,2471,923,991,127,141,44,20,192,35,20,366,71,561,145,42,0
5. Sjællands Storkreds,2. Guldborgsund Opstillingskreds,376,5,Kraghave,2068,454,50.8,245710.3,22.14700193,4.061895551,44.34235977,5.319148936,18.13346228,0.725338491,4.545454545,0.725338491,1139,929,587,84,90,41,23,166,23,21,221,36,411,58,28,0
5. Sjællands Storkreds,2. Guldborgsund Opstillingskreds,376,6,Toreby,1452,361,52.7,219422.4,32.6446281,4.132231405,44.28374656,3.305785124,12.25895317,0.41322314,2.341597796,0.619834711,977,475,401,41,43,22,14,103,10,11,202,33,228,56,18,0
5. Sjællands Storkreds,2. Guldborgsund Opstillingskreds,376,7,Sundby,2761,1032,56.5,230383.7,26.51213329,4.708438971,39.91307497,4.38247012,18.21803694,0.869250272,4.454907642,0.941687794,1833,928,848,97,137,45,13,174,26,32,325,52,503,91,46,1
5. Sjællands Storkreds,2. Guldborgsund Opstillingskreds,376,8,Nysted,2411,920,57.2,202256.7,33.67897138,3.318125259,40.81294069,3.359601825,14.10203235,0.29033596,2.737453339,1.700539195,1852,559,751,64,70,40,9,103,16,11,269,53,427,84,26,0
5. Sjællands Storkreds,2. Guldborgsund Opstillingskreds,376,9,Øster Ulslev,1303,385,53.6,202347.1,36.53108212,2.993092863,42.51726784,3.530314658,10.05372218,0.767459708,2.225633154,1.381427475,911,392,288,27,29,33,32,63,10,10,131,47,262,52,16,2
5. Sjællands Storkreds,2. Guldborgsund Opstillingskreds,376,10,Nørre Alslev,2530,850,55.6,207043.1,37.31225296,3.71541502,40.07905138,3.359683794,11.93675889,0.395256917,2.252964427,0.948616601,1764,766,686,68,80,60,23,160,21,13,295,63,404,101,27,0
5. Sjællands Storkreds,2. Guldborgsund Opstillingskreds,376,11,Nørre Vedby,1794,504,53.2,204206.6,35.95317726,3.455964326,41.80602007,4.403567447,9.420289855,0.836120401,3.010033445,1.114827202,1239,555,460,46,62,40,21,89,11,13,235,63,297,70,25,0
5. Sjællands Storkreds,2. Guldborgsund Opstillingskreds,376,12,Eskilstrup,2075,588,53.1,207358.6,36.77108434,4.048192771,40.28915663,4.192771084,10.89156627,0.481927711,2.409638554,0.915662651,1395,680,615,43,61,44,23,108,18,9,280,46,343,66,22,1
5. Sjællands Storkreds,2. Guldborgsund Opstillingskreds,376,13,Sakskøbing,4621,1697,56.6,201708.2,36.59381086,3.527375027,43.17247349,3.116208613,9.824713266,0.346245401,1.990911058,1.428262281,3454,1167,1379,85,137,83,38,268,33,13,436,75,786,143,31,0
5. Sjællands Storkreds,2. Guldborgsund Opstillingskreds,376,14,Majbølle,1297,418,55.8,213229.5,38.16499614,4.086353123,39.70701619,3.00693909,10.79414032,0.385505012,2.621434079,1.233616037,972,325,297,23,46,49,14,64,12,6,169,36,236,48,11,0
5. Sjællands Storkreds,2. Guldborgsund Opstillingskreds,376,15,Våbensted,939,230,51.7,198478.9,37.91267306,3.940362087,42.38551651,2.875399361,9.584664537,0.319488818,2.02342918,0.958466454,640,299,226,21,29,11,8,52,12,7,97,31,188,32,10,0
5. Sjællands Storkreds,2. Guldborgsund Opstillingskreds,376,16,Stubbekøbing,3013,1134,57.1,199782.4,38.69897113,3.650846333,37.20544308,3.119814139,11.91503485,0.564221706,2.854298042,1.991370727,2362,651,751,94,88,43,26,175,23,39,347,98,491,147,34,0
5. Sjællands Storkreds,2. Guldborgsund Opstillingskreds,376,17,Horreby,2438,712,53.3,209974.7,33.05988515,4.388843314,40.77112387,3.568498769,13.53568499,0.574241181,3.158326497,0.943396226,1665,773,595,78,71,48,17,147,30,18,356,65,401,111,62,0
5. Sjællands Storkreds,2. Guldborgsund Opstillingskreds,376,18,Idestrup,1599,550,55.3,217191.5,31.14446529,4.565353346,42.0888055,4.252657911,13.63352095,0.81300813,2.063789869,1.438398999,1101,498,384,34,69,30,17,78,17,10,246,28,317,45,15,0
5. Sjællands Storkreds,2. Guldborgsund Opstillingskreds,376,19,Væggerløse,2912,1445,60.5,212413.6,29.46428571,2.850274725,45.29532967,3.983516484,13.7706044,0.309065934,2.953296703,1.373626374,2298,614,790,86,149,55,34,133,23,11,407,56,679,66,32,0
5. Sjællands Storkreds,2. Guldborgsund Opstillingskreds,376,20,Gedser,1114,432,57.7,188685.9,40.8438061,3.68043088,37.70197487,3.052064632,10.23339318,0.26929982,2.154398564,2.064631957,916,198,286,27,35,25,10,55,4,8,174,53,113,55,14,0
5. Sjællands Storkreds,3. Vordingborg Opstillingskreds,390,1,Vordingborg,4316,1355,52.4,205407.2,34.75440222,8.202038925,32.06672845,4.170528267,13.87859129,0.949953661,4.448563485,1.529193698,3271,1045,1104,182,194,63,27,361,50,21,287,108,711,217,100,3
5. Sjællands Storkreds,3. Vordingborg Opstillingskreds,390,2,Masnedsund,3312,1220,55.5,210416.5,31.49154589,5.857487923,38.28502415,3.200483092,15.7910628,0.905797101,3.230676329,1.237922705,2439,873,902,155,101,58,32,309,28,15,289,47,518,177,92,1
5. Sjællands Storkreds,3. Vordingborg Opstillingskreds,390,3,Nyråd,2288,766,55.3,255589.4,22.81468531,5.288461538,36.18881119,5.463286713,20.67307692,1.092657343,7.561188811,0.917832168,1527,761,555,157,160,31,15,188,26,13,157,53,473,96,60,0
5. Sjællands Storkreds,3. Vordingborg Opstillingskreds,390,4,Kastrup.1,2096,519,51.1,217008.5,32.15648855,5.295801527,42.17557252,3.673664122,12.26145038,0.763358779,2.433206107,1.240458015,1277,819,559,79,88,40,8,179,27,7,166,63,341,99,37,2
5. Sjællands Storkreds,3. Vordingborg Opstillingskreds,390,5,Bårse,930,274,53.7,234674.9,32.15053763,4.838709677,40.75268817,3.76344086,11.61290323,1.182795699,4.408602151,1.290322581,598,332,183,29,32,27,7,62,16,3,82,23,239,43,22,1
5. Sjællands Storkreds,3. Vordingborg Opstillingskreds,390,6,Lundby,2978,760,51.9,228731.4,33.71390195,4.633982539,39.18737408,4.667562122,12.12222968,0.604432505,3.727333781,1.343183345,1955,1023,623,95,108,79,18,203,33,16,344,81,586,135,49,0
5. Sjællands Storkreds,3. Vordingborg Opstillingskreds,390,7,Ørslev,1634,431,52.5,219134.6,36.59730722,4.039167687,42.41126071,3.488372093,10.03671971,0.550795594,1.713586291,1.162790698,1061,573,452,44,51,32,7,97,15,9,157,42,344,55,12,1
5. Sjællands Storkreds,3. Vordingborg Opstillingskreds,390,8,Stege,4444,1831,58.1,205418.8,36.22862286,4.095409541,38.50135014,2.542754275,13.18631863,0.607560756,3.105310531,1.732673267,3424,1020,1131,251,165,70,36,316,37,32,257,80,826,240,109,2
5. Sjællands Storkreds,3. Vordingborg Opstillingskreds,390,9,Østmøn,1252,522,59.6,197481.8,35.54313099,4.233226837,35.38338658,3.03514377,14.53674121,0.319488818,5.271565495,1.677316294,994,258,274,53,49,20,14,85,13,12,132,26,216,114,37,1
5. Sjællands Storkreds,3. Vordingborg Opstillingskreds,390,10,Vestmøn,1796,562,54.5,214764.1,31.23608018,5.623608018,35.13363029,2.394209354,15.31180401,1.559020045,7.071269488,1.670378619,1241,555,398,113,50,31,18,145,15,10,99,37,329,168,70,1
5. Sjællands Storkreds,3. Vordingborg Opstillingskreds,390,11,Bogø,937,379,57.6,216384.2,28.28175027,4.375667022,35.53895411,4.268943436,21.77161153,0.853788687,3.521878335,1.387406617,679,258,221,56,41,19,17,81,10,7,65,15,162,118,18,0
5. Sjællands Storkreds,3. Vordingborg Opstillingskreds,390,12,Præstø,3436,1405,57.6,221258,31.54831199,4.80209546,36.11757858,4.132712456,17.02561118,0.436554133,4.656577416,1.280558789,2511,925,841,212,141,62,22,269,30,14,291,44,599,182,67,0
5. Sjællands Storkreds,3. Vordingborg Opstillingskreds,390,13,Allerslev,946,244,52.7,229325.4,32.34672304,5.496828753,34.67230444,3.699788584,15.53911205,1.374207188,5.391120507,1.479915433,594,352,193,44,31,23,11,87,12,5,77,27,197,68,26,0
5. Sjællands Storkreds,3. Vordingborg Opstillingskreds,390,14,Jungshoved,634,247,57.8,218626,28.39116719,3.785488959,37.53943218,5.205047319,16.87697161,0.94637224,6.466876972,0.788643533,502,132,150,38,24,9,6,51,4,7,56,15,119,55,19,1
5. Sjællands Storkreds,3. Vordingborg Opstillingskreds,390,15,Mern,1471,404,53.2,213554.7,38.61318831,4.282800816,40.24473148,2.787219579,9.109449354,0.611828688,3.399048266,0.951733515,985,486,350,40,45,40,13,100,6,12,141,58,284,68,49,0
5. Sjællands Storkreds,3. Vordingborg Opstillingskreds,390,16,Kalvehave,1696,639,57.8,201581.2,32.01650943,3.714622642,42.2759434,3.596698113,12.44103774,0.589622642,3.537735849,1.827830189,1319,377,393,214,60,48,19,159,13,8,77,58,251,81,25,1
5. Sjællands Storkreds,3. Vordingborg Opstillingskreds,390,17,Stensved,1561,497,54.1,221035.6,29.27610506,4.868673927,43.43369635,3.587443946,14.67008328,0.512491992,2.946828956,0.704676489,970,591,447,52,72,32,7,112,20,10,150,41,322,54,30,1
5. Sjællands Storkreds,4. Næstved Opstillingskreds,370,1,Fuglebjerg Hallen,3438,964,52.9,222308.9,37.63816172,3.810354857,37.6672484,3.868528214,12.62361838,0.465386853,2.821407795,1.105293775,2375,1063,751,114,148,105,29,217,40,26,396,83,665,126,56,1
5. Sjællands Storkreds,4. Næstved Opstillingskreds,370,2,Everdrup,800,194,52.6,270925.2,31.875,4.125,38,4.5,11.5,0.5,5.125,4.375,552,248,197,30,33,22,13,34,7,4,85,18,177,27,20,0
5. Sjællands Storkreds,4. Næstved Opstillingskreds,370,3,Grønbro-Hallen,1631,332,50.5,213987.2,38.68792152,3.556100552,39.6076027,3.494788473,10.66830166,0.306560392,1.961986511,1.716738197,1072,559,365,45,54,53,12,91,14,6,200,41,297,62,34,1
5. Sjællands Storkreds,4. Næstved Opstillingskreds,370,4,Fladså Hallen,1939,547,53.4,254546,25.47705003,4.486848891,41.36152656,5.002578649,17.48323878,0.464156782,4.125838061,1.598762249,1177,762,522,86,141,40,14,133,23,18,125,25,515,52,17,0
5. Sjællands Storkreds,4. Næstved Opstillingskreds,370,5,Tybjerg,740,175,52.6,243983,27.83783784,4.324324324,41.62162162,4.864864865,13.91891892,0.945945946,4.72972973,1.756756757,466,274,159,23,32,22,3,37,9,4,82,25,175,43,11,0
5. Sjællands Storkreds,4. Næstved Opstillingskreds,370,6,Tappernøje,1966,456,51.1,231806.6,33.97761953,5.289928789,39.47100712,3.814852492,11.80061038,0.661241099,2.950152594,2.034587996,1277,689,502,50,71,40,33,121,32,7,219,58,402,72,25,0
5. Sjællands Storkreds,4. Næstved Opstillingskreds,370,7,Hammer - Vester Egesborg,1261,273,50.6,231200.2,30.92783505,4.916732752,39.57176844,4.203013481,14.8295004,0.951625694,3.092783505,1.506740682,782,479,283,44,35,29,18,70,21,12,118,37,296,50,28,0
5. Sjællands Storkreds,4. Næstved Opstillingskreds,370,8,Fensmark,3785,1124,52.7,241836.8,27.05416116,4.782034346,43.17040951,4.755614267,15.56142668,0.554821664,2.906208719,1.215323646,2202,1583,1163,123,186,67,26,240,62,30,338,79,767,113,38,0
5. Sjællands Storkreds,4. Næstved Opstillingskreds,370,9,Holme-Olstrup,1117,292,52,231473.1,31.78155774,3.581020591,43.24082363,4.207699194,12.35452104,0.447627574,3.670546106,0.716204118,679,438,315,30,58,33,8,68,13,5,138,35,233,32,9,0
5. Sjællands Storkreds,4. Næstved Opstillingskreds,370,10,Toksværd,1270,280,51.7,241536.2,33.77952756,4.015748031,39.60629921,4.488188976,12.28346457,0.393700787,3.779527559,1.653543307,780,490,314,41,58,33,12,67,18,0,129,40,273,47,19,0
5. Sjællands Storkreds,4. Næstved Opstillingskreds,370,11,Glumsø,2454,699,53.3,240100.1,29.58435208,5.54197229,38.95680522,4.726976365,13.12143439,0.814995925,6.112469438,1.140994295,1492,962,700,91,75,61,28,219,44,22,211,51,444,129,36,0
5. Sjællands Storkreds,4. Næstved Opstillingskreds,370,12,Sandby.1,414,78,50,261449.8,30.6763285,3.623188406,40.82125604,4.589371981,12.80193237,0.724637681,5.797101449,0.966183575,240,174,59,19,22,18,7,35,10,1,48,20,85,17,3,0
5. Sjællands Storkreds,4. Næstved Opstillingskreds,370,13,Skelby,486,125,52.8,239609.1,34.97942387,3.29218107,41.15226337,2.469135802,10.69958848,1.234567901,5.967078189,0.205761317,293,193,115,16,14,16,7,16,7,6,47,12,128,13,10,0
5. Sjællands Storkreds,4. Næstved Opstillingskreds,370,14,Herlufmagle,2521,704,52.9,231045.7,32.52677509,3.92701309,43.51447838,4.323681079,12.17770726,0.317334391,2.102340341,1.110670369,1580,941,683,69,126,51,19,151,33,17,274,76,470,84,25,0
5. Sjællands Storkreds,4. Næstved Opstillingskreds,370,20,Ll. Næstved Skole-Karrebækvej,3696,1017,52.4,250135.1,26.05519481,6.277056277,36.44480519,5.384199134,18.23593074,0.838744589,5.221861472,1.542207792,2336,1360,1112,167,201,66,25,222,49,24,221,68,772,132,49,0
5. Sjællands Storkreds,4. Næstved Opstillingskreds,370,21,Grønnegades Kaserne,3302,819,47,194213.5,28.67958813,14.08237432,31.6172017,3.937007874,14.83949122,1.27195639,3.694730466,1.877649909,2773,529,740,141,174,58,24,227,83,12,185,61,556,162,52,0
5. Sjællands Storkreds,4. Næstved Opstillingskreds,370,22,Ellebækskolen - Kildemark,4347,986,47.7,190947.2,33.93144697,9.70784449,34.00046009,3.404646883,12.67540833,1.012192317,3.243616287,2.024384633,3185,1162,1238,176,137,86,36,364,72,24,299,119,540,220,92,1
5. Sjællands Storkreds,4. Næstved Opstillingskreds,370,23,Arena Næstved,4660,1201,51.2,239315.8,27.16738197,7.660944206,35.68669528,4.699570815,17.55364807,0.815450644,5.300429185,1.115879828,3106,1554,1428,201,219,92,32,351,96,29,290,84,770,212,69,0
5. Sjællands Storkreds,4. Næstved Opstillingskreds,370,24,Kobberbakkeskolen Sct. Jørgens,4968,1622,53.4,222732.8,29.71014493,6.441223833,39.63365539,4.04589372,15.4589372,0.704508857,3.321256039,0.684380032,3540,1428,1662,190,189,90,37,358,66,32,381,82,793,178,73,1
5. Sjællands Storkreds,4. Næstved Opstillingskreds,370,25,Ellebækskolen - Kalbyris,2720,612,49.8,220844.7,29.00735294,7.647058824,37.86764706,5.110294118,15.33088235,0.661764706,3.088235294,1.286764706,1779,941,816,129,107,74,18,224,41,12,210,60,338,126,51,1
5. Sjællands Storkreds,4. Næstved Opstillingskreds,370,26,Ll Næstved Skole-Herlufsholmve,2662,838,52.8,262227.7,21.18707739,6.348610068,34.29752066,6.048084147,21.26220887,1.164537941,8.752817431,0.939143501,1664,998,743,146,186,39,11,199,49,24,164,45,609,83,34,0
5. Sjællands Storkreds,4. Næstved Opstillingskreds,370,27,Herlufsholmhallen,4455,1389,53.5,254477.5,25.18518519,5.746352413,39.12457912,6.150392817,16.54320988,0.942760943,5.634118967,0.673400673,2765,1690,1210,193,262,104,25,234,72,40,327,85,1012,117,49,0
5. Sjællands Storkreds,4. Næstved Opstillingskreds,370,28,Kobberbakkeskolen - Sydby,3682,1022,50.8,198738.1,35.98587724,8.14774579,37.72406301,3.747963064,10.51059207,0.570342205,1.846822379,1.466594242,2567,1115,1179,153,109,65,20,251,38,26,275,62,454,125,37,1
5. Sjællands Storkreds,4. Næstved Opstillingskreds,370,29,Kobberbakkeskolen - Rønnebæk,670,144,51.4,241282.3,27.76119403,4.776119403,40.74626866,4.925373134,16.26865672,0.597014925,3.731343284,1.194029851,397,273,191,25,37,14,7,47,12,1,72,23,123,29,10,0
5. Sjællands Storkreds,4. Næstved Opstillingskreds,370,31,Ll Næstved Skole - Hyllinge,1482,320,51,217911.9,34.14304993,4.251012146,41.76788124,3.576248313,12.0782726,0.472334683,2.496626181,1.214574899,975,507,329,39,55,44,24,96,18,3,128,53,337,52,28,0
5. Sjællands Storkreds,4. Næstved Opstillingskreds,370,32,Ll Næstved Skole - Karrebæk,2155,1108,61.4,246885.7,26.96055684,3.294663573,40.18561485,3.990719258,18.60788863,0.835266821,5.05800464,1.067285383,1695,460,633,70,112,33,19,120,27,9,217,38,556,69,25,1
5. Sjællands Storkreds,5. Faxe Opstillingskreds,320,1,Haslev 01,5418,1470,52.1,234378.6,26.19047619,4.651162791,42.59874492,5.278700628,15.06090808,0.793650794,4.448135843,0.978220746,3213,2205,1212,228,286,147,62,401,92,50,544,167,1127,198,81,2
5. Sjællands Storkreds,5. Faxe Opstillingskreds,320,2,Haslev 02,6273,1827,52.7,223897.4,30.97401562,5.77076359,39.37509963,4.367926032,14.04431691,0.621712099,3.554917902,1.291248207,4177,2096,1343,250,359,164,54,512,66,50,566,202,1156,259,73,0
5. Sjællands Storkreds,5. Faxe Opstillingskreds,320,3,Faxe,3747,1082,53,218111.2,39.8452095,4.430210835,39.07125701,3.549506272,8.646917534,0.400320256,2.401921537,1.654657059,2594,1153,1034,62,162,96,44,200,44,27,334,116,677,113,45,0
